"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#headings--and-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#escape-symbol-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#bullets-with----and-_","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#numbered-lists-1","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#bold--","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#italics--_","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#block-quote--","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#code--","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#horizontal-line--","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#links---or-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#images-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#strikethrough-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch001.xhtml#comments--","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch004.xhtml#cheat-sheet","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch005.xhtml#table-of-contents-1","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\URL","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch010.xhtml#headings--and-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch010.xhtml#escape-symbol-","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch010.xhtml#bullets-with----and-_","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch010.xhtml#numbered-lists-1","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\harry\AppData\Local\Temp\b5d0688f-233a-452f-827d-52fd7738044c\cTemp\mTemp\mbp_7E9_B_C_10_3A_39_A9_1CEC_5670_1\EPUB\text\ch010.xhtml#bold--","","","",""
